geoId,FirstDose,SecondDose,DoseAdditional1,DoseAdditional2,cases,deaths,IFR
AT,6308220,5794864,5124562,0,3915549.0,12240.0,0.003125998423209619
BE,8270187,7781258,6934182,263218,3493368.0,11864.0,0.0033961495038598855
BG,2057192,1527369,753550,0,961540.0,29587.0,0.030770430767310772
CY,623674,601077,463080,21396,465538.0,929.0,0.0019955406432987212
CZ,6525873,6057450,4143149,0,3185770.0,28260.0,0.00887069688018909
DE,64240305,60825653,49637048,4958353,24403631.0,87554.0,0.003587744790928858
DK,4258814,4263828,3632841,0,2876171.0,4893.0,0.0017012201291230597
EE,785914,707542,454650,14053,547924.0,2328.0,0.004248764427183332
EL,7413348,6681123,5780640,293910,3289007.0,24360.0,0.00740649077365904
ES,36322266,31637665,25043242,0,10195862.0,50306.0,0.004933962425148555
FI,12203249,11922171,8839576,0,1044546.0,3808.0,0.0036456029700941846
FR,99668417,95502337,78190101,4003331,26770837.0,83399.0,0.0031152929585279683
HR,2265146,2010574,896399,1271,923395.0,12046.0,0.01304533812723699
HU,5900340,5500629,3788053,297564,1595263.0,36970.0,0.023174862076033857
IE,3603058,3347361,2838835,268114,1460056.0,5007.0,0.0034293205192129617
IS,258887,207160,245303,4265,181910.0,124.0,0.0006816557638392611
IT,100988710,82687049,71036458,0,15181121.0,91968.0,0.006058050653835115
LI,25039,24576,18123,0,15253.0,45.0,0.0029502392971874386
LT,3703164,3090344,1776826,0,914113.0,7296.0,0.007981507756699664
LU,424905,379913,343797,13746,200286.0,568.0,0.0028359445992231108
LV,1217168,923423,526610,74,786795.0,5183.0,0.006587484668814621
MT,409484,375041,348836,29380,81490.0,500.0,0.0061357221744999385
NL,11922866,10481895,9252411,2017640,7283435.0,10904.0,0.0014970958071294656
NO,3990657,3898011,2944542,0,1381479.0,2658.0,0.0019240249037444652
PL,41486590,35916732,23624308,0,4622989.0,87736.0,0.018978197871550202
PT,18385267,14714953,13008740,281873,4142963.0,15942.0,0.0038479706432328746
RO,7904301,5848023,1727395,4412,2274947.0,49897.0,0.02193325822535646
SE,14521000,14252128,10780976,2940860,2051849.0,9091.0,0.004430637927059934
SI,1183617,1030349,647964,0,899554.0,3927.0,0.004365496679465602
SK,2709363,2493940,1644348,3801,2256218.0,17838.0,0.007906150912722086
